,ethnicity_ID,wikidata_id,ethnicity_label,corresponding_ethnicity,count
149,/m/02p4q5p,Q3267812,Portuguese Americans,https://en.wikipedia.org/wiki/Portuguese_Americans,12
150,/m/02wcbj_,Q11685635,Bolivian Americans,https://en.wikipedia.org/wiki/Bolivian_Americans,1
151,/m/02jvpv,Q2552898,Kiwi,https://en.wikipedia.org/wiki/Kiwi_(nickname),12
152,/m/08gzsf,Q1249914,Konkani people,https://en.wikipedia.org/wiki/Konkani_people,1
153,/m/09cqth,Q1780828,Romanichal,https://en.wikipedia.org/wiki/Romanichal,2
154,/m/02p444n,Q1195125,Cubans,https://en.wikipedia.org/wiki/Cubans,6
155,/m/07j80c,Q7409937,Samoan Americans,https://en.wikipedia.org/wiki/Samoan_Americans,5
156,/m/0btrm4,Q2325516,Armenian Americans,https://en.wikipedia.org/wiki/Armenian_Americans,4
157,/m/04608z,Q4690200,Afro Trinidadians and Tobagonians,https://en.wikipedia.org/wiki/Afro%E2%80%93Trinidadians_and_Tobagonians,3
158,/m/065z7w_,Q6913088,Moroccan Americans,https://en.wikipedia.org/wiki/Moroccan_Americans,1
159,/m/0b0gzf,,,,1
160,/m/033njm,Q3154490,Irish Canadians,https://en.wikipedia.org/wiki/Irish_Canadians,6
161,/m/02rbdlq,Q7437641,Scottish Canadians,https://en.wikipedia.org/wiki/Scottish_Canadians,10
162,/m/01xttr,Q118281,Kannada people,https://en.wikipedia.org/wiki/Kannadigas,6
163,/m/062_25,Q1065371,Italian Brazilians,,2
164,/m/01nbcy,Q44614,Taiwanese Americans,https://en.wikipedia.org/wiki/Taiwanese_Americans,2
165,/m/02cm28,Q2935829,English Canadians,https://en.wikipedia.org/wiki/English_Canadians,1
166,/m/0fqz6,Q686949,Cajun,https://en.wikipedia.org/wiki/Cajuns,14
167,/m/047bp1r,Q5147919,Colombian Australian,https://en.wikipedia.org/wiki/Colombian_Australians,1
168,/m/0bs7l_v,Q3310017,Pakistanis,https://en.wikipedia.org/wiki/Pakistanis,5
169,/m/02qv_h_,Q3303849,Syrian Americans,https://en.wikipedia.org/wiki/Syrian_Americans,5
170,/m/0dv5vw,Q3349057,Pacific Islander Americans,https://en.wikipedia.org/wiki/Pacific_Islander_Americans,2
171,/m/04tvpv,,,,18
172,/m/026c9dq,Q7416717,Chilean Americans,https://en.wikipedia.org/wiki/Chilean_Americans,6
173,/m/0b__fv3,Q7681242,Tamil Americans,https://en.wikipedia.org/wiki/Tamil_Americans,2
174,/m/018s6c,Q875556,Israelis,https://en.wikipedia.org/wiki/Israelis,12
175,/m/03yk6g,Q388467,Afro-Cuban,https://en.wikipedia.org/wiki/Afro-Cubans,1
176,/m/05l3g_,Q200569,Dutch,https://en.wikipedia.org/wiki/Dutch_people,22
177,/m/0ckk60,Q785378,White South Africans,https://en.wikipedia.org/wiki/White_South_Africans,2
178,/m/0bfjm7,Q3094841,Welsh Americans,https://en.wikipedia.org/wiki/Welsh_Americans,5
179,/m/04jq32s,Q3635166,Nepali Indian,https://en.wikipedia.org/wiki/Nepali_Indian,3
180,/m/0790v,Q40477,Slavs,https://en.wikipedia.org/wiki/Slavs,1
181,/m/01trsl,Q392316,First Nations,https://en.wikipedia.org/wiki/First_Nations_in_Canada,8
182,/m/03cdk7b,Q2580491,مسح,https://en.wikipedia.org/wiki/British_Pakistanis,2
183,/m/02q206y,Q10859769,Iranians in the United Kingdom,https://en.wikipedia.org/wiki/Iranians_in_the_United_Kingdom,4
184,/m/05g0f1,Q415693,Akan people,https://en.wikipedia.org/wiki/Akan_people,1
185,/m/067lwk,Q5187097,Croatian Canadians,https://en.wikipedia.org/wiki/Croatian_Canadians,2
186,/m/05748,Q6122670,Māori,https://en.wikipedia.org/wiki/M%C4%81ori_people,7
187,/m/033qxt,Q501837,Mizrahi Jews,https://en.wikipedia.org/wiki/Mizrahi_Jews,5
188,/m/097nms,Q3244280,Black Britons,https://en.wikipedia.org/wiki/Black_British_people,3
189,/m/04czx7,Q1974839,Chinese Filipino,https://en.wikipedia.org/wiki/Chinese_Filipinos,24
190,/m/08xbxs,Q7125804,Pakistani Canadians,https://en.wikipedia.org/wiki/Pakistani_Canadians,1
191,/m/0432mrk,Q36747,Indigenous peoples of the Americas,https://en.wikipedia.org/wiki/Indigenous_peoples_of_the_Americas,33
192,/m/059_w,Q49297,Native Americans in the United States,https://en.wikipedia.org/wiki/Native_Americans_in_the_United_States,13
193,/m/01ywdy,Q173302,Estonians,https://en.wikipedia.org/wiki/Estonians,2
194,/m/0289z8v,Q2533689,Dalmatian Italians,https://en.wikipedia.org/wiki/Dalmatian_Italians,1
195,/m/013b6_,Q34069,Ashkenazi Jews,https://en.wikipedia.org/wiki/Ashkenazi_Jews,13
196,/m/03f3sf,Q3916714,Romanian Americans,https://en.wikipedia.org/wiki/Romanian_Americans,2
197,/m/017sq0,Q7434888,Eurasian,,4
198,/m/04_hr_,Q1003039,Chinese Singaporeans,https://en.wikipedia.org/wiki/Chinese_Singaporeans,5
199,/m/071drf,Q7404928,Chaliyan,https://en.wikipedia.org/wiki/Saliya,1
200,/m/0hbz9xw,,,,1
201,/m/01j2qv,Q276879,Korean Americans,https://en.wikipedia.org/wiki/Korean_Americans,12
202,/m/0640_7q,Q2672654,History of the Jews in Morocco,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Morocco,4
203,/m/02p656s,,,,7
204,/m/0dj8k3,Q702718,British Jews,https://en.wikipedia.org/wiki/British_Jews,6
205,/m/0466nw8,Q2606511,Lebanese people,https://en.wikipedia.org/wiki/Lebanese_people,6
206,/m/07d_p8,Q244504,Catalans,https://en.wikipedia.org/wiki/Catalans,2
207,/m/078vc,Q582779,Sikh,https://en.wikipedia.org/wiki/Sikhs,3
208,/m/09gp4,Q483569,Belarusians,https://en.wikipedia.org/wiki/Belarusians,4
209,/m/06lshc,Q7042073,Niyogi,https://en.wikipedia.org/wiki/Niyogi_Brahmin,1
210,/m/0404kdr,Q7409949,Samoan New Zealanders,https://en.wikipedia.org/wiki/Samoan_New_Zealanders,1
211,/m/016f5d,Q388264,Blackfoot Confederacy,https://en.wikipedia.org/wiki/Blackfoot_Confederacy,7
212,/m/04mmhj,Q2658204,British Chinese,https://en.wikipedia.org/wiki/British_Chinese,10
213,/m/067lts,Q3395438,Polish Canadians,https://en.wikipedia.org/wiki/Polish_Canadians,2
214,/m/0761bp,Q5102351,Chitrapur Saraswat Brahmin,https://en.wikipedia.org/wiki/Chitrapur_Saraswat_Brahmin,3
215,/m/0bbcnlt,,,,1
216,/m/06rd7,Q48199,Sámi people,https://en.wikipedia.org/wiki/S%C3%A1mi_peoples,2
217,/m/095mw2,Q1633149,Soviet people,https://en.wikipedia.org/wiki/Soviet_people,1
218,/m/09y7x4,Q3707477,Filipino Australians,https://en.wikipedia.org/wiki/Filipino_Australians,2
219,/m/08cjt2,Q6363876,Karnataka Brahmins,https://en.wikipedia.org/wiki/Karnataka_Brahmin,4
220,/m/013s3n,Q170217,Czechs,https://en.wikipedia.org/wiki/Czechs,32
221,/m/0g4pffv,Q4400590,Russian Canadians,https://en.wikipedia.org/wiki/Russian_Canadians,2
222,/m/09gk_6h,Q2365041,Argentines,https://en.wikipedia.org/wiki/Argentines,13
223,/m/034s7b,Q368125,Anglo-Indian people,https://en.wikipedia.org/wiki/Anglo-Indian_people,1
224,/m/0987ctr,,,,1
225,/m/04_bc8,,,,1
226,/m/0b98sy,,,,1
227,/m/0ffjqy,Q3003133,Croatian Americans,https://en.wikipedia.org/wiki/Croatian_Americans,9
228,/m/0fk1z,Q1211934,Hispanic,https://en.wikipedia.org/wiki/Hispanic,15
229,/m/074w_m,Q140713,Tulu people,https://en.wikipedia.org/wiki/Tulu_people,2
230,/m/03cl2pz,Q4416722,Serbs in the United Kingdom,https://en.wikipedia.org/wiki/Serbs_in_the_United_Kingdom,1
231,/m/07gzw5,Q2526737,Kapampangan people,https://en.wikipedia.org/wiki/Kapampangan_people,4
232,/m/086wp0,Q2527423,Ilocano,https://en.wikipedia.org/wiki/Ilocano_people,1
233,/m/01g0y_,Q255872,Ojibwe,https://en.wikipedia.org/wiki/Ojibwe,3
234,/m/0bns36b,,,,1
235,/m/04k02l,Q18356677,Marwari people,https://en.wikipedia.org/wiki/Marwari_people,1
236,/m/02p7gyv,Q4958704,Brazilian Americans,https://en.wikipedia.org/wiki/Brazilian_Americans,1
237,/m/03sx6v,Q5030929,German Canadians,https://en.wikipedia.org/wiki/German_Canadians,2
238,/m/0bfrrj,Q6894521,Mohyal,https://en.wikipedia.org/wiki/Mohyal_Brahmin,1
239,/m/02pzb09,Q3573855,Castilians,https://en.wikipedia.org/wiki/Castilians,1
240,/m/052r3t,Q2975309,Bhutia,https://en.wikipedia.org/wiki/Bhutia,1
241,/m/0268pvf,Q9149944,Iraqi Americans,https://en.wikipedia.org/wiki/Iraqi_Americans,1
242,/m/013s2p,Q940348,Bosniaks,https://en.wikipedia.org/wiki/Bosniaks,1
243,/m/09chmw,Q3803351,Filipino people of Spanish ancestry,https://en.wikipedia.org/wiki/Filipino_people_of_Spanish_ancestry,1
244,/m/0ft9bs,Q7586050,Sri Lankan Tamil diaspora,https://en.wikipedia.org/wiki/Sri_Lankan_Tamil_diaspora,1
245,/m/013b7g,Q102251,Sephardi Jews,https://en.wikipedia.org/wiki/Sephardic_Jews,1
246,/m/02r_qms,Q873625,Brazilians,https://en.wikipedia.org/wiki/Brazilians,6
247,/m/0cx3p,Q45315,Berber,https://en.wikipedia.org/wiki/Berbers,3
248,/m/026cybk,Q3026394,Serbian Canadians,https://en.wikipedia.org/wiki/Serbian_Canadians,3
249,/m/04ydrsn,Q12404065,Israeli Americans,https://en.wikipedia.org/wiki/Israeli_Americans,8
